Week,Economy: (United States),Technology: (United States)
4/28/2019,53,82
5/5/2019,50,78
5/12/2019,48,76
5/19/2019,42,71
5/26/2019,35,62
6/2/2019,33,71
6/9/2019,29,67
6/16/2019,27,68
6/23/2019,27,66
6/30/2019,24,54
7/7/2019,26,65
7/14/2019,27,67
7/21/2019,25,63
7/28/2019,26,62
8/4/2019,25,61
8/11/2019,33,70
8/18/2019,40,74
8/25/2019,42,75
9/1/2019,41,72
9/8/2019,51,82
9/15/2019,51,83
9/22/2019,49,83
9/29/2019,49,81
10/6/2019,46,79
10/13/2019,43,75
10/20/2019,46,81
10/27/2019,44,74
11/3/2019,46,80
11/10/2019,45,78
11/17/2019,47,80
11/24/2019,29,60
12/1/2019,47,80
12/8/2019,50,78
12/15/2019,42,70
12/22/2019,21,44
12/29/2019,23,50
1/5/2020,40,76
1/12/2020,46,81
1/19/2020,46,76
1/26/2020,50,78
2/2/2020,53,80
2/9/2020,51,82
2/16/2020,48,78
2/23/2020,56,82
3/1/2020,51,78
3/8/2020,61,70
3/15/2020,70,58
3/22/2020,80,63
3/29/2020,75,69
4/5/2020,69,69
4/12/2020,100,71
4/19/2020,83,67
